Email Text,Email Type
"Your order #8891 has been delivered. We hope you enjoy your purchase!",Safe Email
"Thank you for applying to the Software Engineer position. Our team will review your application and get back to you within two weeks.",Safe Email
"Reminder: your annual health checkup is scheduled for next Tuesday at 10am.",Safe Email
"Great presentation today, really enjoyed the discussion on the new roadmap.",Safe Email
"Your feedback has been submitted. Thank you for helping us improve.",Safe Email
"We've updated our terms of service. The changes take effect starting next month.",Safe Email
"Welcome to the team! Your onboarding schedule for this week is attached.",Safe Email
"Your electricity bill for this month has been generated and is available in your account.",Safe Email
"Please find attached the quotation for the requested items.",Safe Email
"Just checking if you received the files I sent yesterday.",Safe Email
"The community event has been rescheduled to next Saturday due to weather.",Safe Email
"Your appointment with Dr. Mehta has been confirmed for Friday at 4pm.",Safe Email
"Thanks for your donation, it truly makes a difference. Your receipt is attached for tax purposes.",Safe Email
"Reminder: staff meeting moved to 3pm today in the main conference room.",Safe Email
"Your resume has been shortlisted, our HR team will contact you soon to schedule an interview.",Safe Email
"The census reminder: please complete your household form by the end of the month.",Safe Email
"Your car service is due next week, please call to schedule an appointment.",Safe Email
"Congrats on completing the course! Your certificate will be issued within 5 working days.",Safe Email
"Your account password was changed. If this wasn't you, reset it immediately at http://secure-verify-account.net/reset.",Phishing Email
"Final notice: your subscription will be cancelled unless you confirm payment now at http://billing-alert-update.com/pay.",Phishing Email
"You have a pending refund of $450. Claim it before it expires: http://refund-claim-now.info.",Phishing Email
"Security alert: unusual login detected. Verify your identity immediately at http://account-verify-secure.com.",Phishing Email
"Your document could not be delivered. Click here to retrieve it: http://document-delivery-pending.net.",Phishing Email
"Congratulations, you've been selected for an exclusive reward. Claim now: http://exclusive-reward-claim.com.",Phishing Email
"Your mailbox is almost full. Increase storage now: http://mailbox-storage-upgrade.net.",Phishing Email
"Action required: your payment method has expired. Update now at http://payment-update-required.com.",Phishing Email
"We noticed suspicious activity on your account. Confirm your details here: http://account-confirm-alert.net.",Phishing Email
"Your parcel delivery failed. Reschedule immediately at http://delivery-reschedule-now.info.",Phishing Email
"Your invoice payment is overdue. Settle it now to avoid penalty: http://invoice-overdue-pay.net.",Phishing Email
"Your subscription has expired. Renew now to keep access: http://subscription-renew-urgent.com.",Phishing Email
"Unusual sign-in attempt blocked. Review activity now: http://signin-review-alert.net.",Phishing Email
"Your tax refund is ready for processing. Submit your details here: http://tax-refund-process.info.",Phishing Email
"Your cloud storage is over quota. Upgrade immediately: http://storage-upgrade-alert.com.",Phishing Email
"Final reminder: confirm your email to avoid account suspension: http://email-confirm-final.net.",Phishing Email
"You've received a secure document. View it now: http://secure-document-view.info.",Phishing Email
"Your card has been temporarily locked. Unlock it here: http://card-unlock-now.com.",Phishing Email
"Update required: your software license has expired. Renew at http://license-renew-alert.net.",Phishing Email
"Your account will be permanently deleted unless verified within 24 hours: http://verify-account-24hr.com.",Phishing Email
"Hi, this is your IT department. We need your password to complete a system upgrade tonight.",Phishing Email
"URGENT from the CEO: I need you to purchase gift cards for a client immediately, reply for details.",Phishing Email
"We processed your payment of $999 for antivirus renewal. If this wasn't you, call this number immediately: 1-800-555-0199.",Phishing Email
"You've matched with someone special. Complete your profile to see who: http://lovematch-special.net/profile.",Phishing Email
"Your crypto wallet has an unclaimed airdrop worth $2000. Connect your wallet now: http://crypto-airdrop-claim.net.",Phishing Email
"This is a legal notice regarding unpaid dues. Failure to respond within 48 hours will result in legal action: http://legal-notice-response.com.",Phishing Email
"Your government stimulus payment is ready. Confirm your bank details to receive it: http://stimulus-payment-confirm.net.",Phishing Email
"Job offer: Work from home earning $5000/week, no experience needed. Apply now: http://easyjob-apply.net.",Phishing Email
"Your social media account has been reported for violating guidelines. Appeal now or lose access: http://social-appeal-now.net.",Phishing Email
"We tried to deliver your package but customs fees are due. Pay $2.99 to release it: http://customs-fee-release.net.",Phishing Email
"Your email storage will be deleted in 24 hours unless upgraded: http://mail-storage-urgent.net.",Phishing Email
"You are pre-approved for a $10,000 loan with 0% interest. Apply now before this offer ends: http://loan-preapproved.net.",Phishing Email
"Your Netflix payment failed. Update your billing details to avoid suspension: http://netflix-billing-update.net.",Phishing Email
"This is Amazon Support. Your order was charged twice, click here for a refund: http://amazon-refund-support.net.",Phishing Email
"Your WhatsApp account will be suspended unless you verify with this code: http://whatsapp-verify-now.net.",Phishing Email
"A voicemail has been left for you. Listen now: http://voicemail-listen-now.net.",Phishing Email
"Your PF withdrawal request is pending. Complete verification here: http://pf-withdrawal-verify.net.",Phishing Email
"Your resume was flagged for a high-paying remote job. Confirm interest here: http://remote-job-confirm.net.",Phishing Email
"Someone tried to access your account from a new device. If this wasn't you, secure your account now: http://secure-device-alert.net.",Phishing Email
